"Snapshot","User","Reason","Item","Day","Birth","Product_Line","Price","Has_Promo","Model","PNT","Sys_p90","Sys_p50","User_p90","User_p50","Sold","target"
2014-07-11,"retail_311","Wide Distribution","X6192",2014-07-13,2010-02-10,"P28","$17.26 ","N","ARIMA",12.248,27.572,13.416,60,20,8,0
2014-07-11,"retail_311","Wide Distribution","X34366",2014-07-13,2014-05-22,"P28","$16.99 ","N","ARIMA",0.966,1.675,0.471,6,2,3,1
2014-07-11,"retail_311","Wide Distribution","X39568",2014-07-13,2014-06-12,"P28","$14.00 ","N","ARIMA",0.339,1.036,0.264,6,2,2,1
2014-07-11,"retail_311","Wide Distribution","X3392",2014-07-13,2014-06-24,"P28","$17.59 ","N","ARIMA",0.796,2.231,0.682,6,2,2,1
2014-07-11,"retail_311","Wide Distribution","X37980",2014-07-13,2014-06-24,"P28","$37.41 ","N","ARIMA",0.744,1.49,0.365,9,3,3,1
2014-07-11,"retail_311","Wide Distribution","X39567",2014-07-13,2014-06-16,"P28","$12.00 ","N","ARIMA",15.533,42.255,16.563,12,4,28,0
2014-07-11,"retail_311","Wide Distribution","X5266",2014-07-13,2010-09-15,"P28","$10.47 ","N","ARIMA",1.815,8.571,2.459,174,58,0,0
2014-07-01,"retail_284","New Item","X20041",2014-07-13,2011-12-11,"P12","$29.97 ","N","ARIMA",52.043,94.551,51.666,384,120,58,0
2014-07-11,"retail_311","Wide Distribution","X40041",2014-07-13,2014-06-05,"P28","$49.75 ","N","ARIMA",1.745,4.375,1.492,9,3,0,0
2014-07-11,"retail_311","Wide Distribution","X30037",2014-07-13,2014-05-05,"P28","$43.23 ","N","ARIMA",1.484,3.243,1.13,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X36809",2014-07-13,2014-06-20,"P28","$30.00 ","N","ARIMA",0.911,2.827,0.874,21,7,0,0
2014-07-11,"retail_311","Wide Distribution","X39500",2014-07-13,2014-05-21,"P28","$29.99 ","N","ARIMA",1.901,3.49,1.194,6,2,1,0
2014-07-03,"retail_71","New Item","X16858",2014-07-13,2013-10-13,"P17","$19.00 ","N","ARIMA",0.673,2.895,0.886,30,10,5,0
2014-07-07,"retail_57","New Item","X40238",2014-07-13,2014-05-19,"P12","$139.99 ","N","ARIMA",6.085,15.825,7.264,28.8,8,10,0
2014-07-11,"retail_311","Wide Distribution","X36894",2014-07-13,2014-06-09,"P28","$39.99 ","N","ARIMA",0.338,2.361,0.599,6,2,3,1
2014-07-11,"retail_311","Wide Distribution","X26327",2014-07-13,2014-05-19,"P28","$19.97 ","N","ARIMA",0.959,2.543,0.762,6,2,2,1
2014-07-11,"retail_311","Wide Distribution","X27347",2014-07-13,2014-06-25,"P28","$60.00 ","N","ARIMA",0.96,3.304,1.036,39,13,0,0
2014-07-01,"retail_85","New Item","X23184",2014-07-13,2012-07-08,"P10","$25.60 ","Y","ARIMA",26.513,45.559,28.407,113,51.364,23,0
2014-07-03,"retail_174","?","X39323",2014-07-13,2014-03-17,"P12","$39.99 ","N","ARIMA",0.705,1.593,0.376,18,5,1,0
2014-07-11,"retail_311","Wide Distribution","X44079",2014-07-13,2014-06-25,"P28","$21.99 ","","ARIMA",0.915,5.075,1.297,9,3,1,0
2014-07-11,"retail_311","Wide Distribution","X39545",2014-07-13,2014-05-29,"P28","$132.02 ","","ARIMA",7.067,22.798,7.702,9,3,25,0
2014-07-11,"retail_311","Wide Distribution","X23352",2014-07-13,2012-06-25,"P28","$29.99 ","","ARIMA",57.935,104.368,58.381,249,83,56,0
2014-07-11,"retail_311","Wide Distribution","X18596",2014-07-13,2014-06-20,"P28","$12.99 ","","ARIMA",0.545,1.051,0.261,6,2,3,1
2014-07-02,"retail_284","?","X5263",2014-07-13,2007-05-28,"P12","$15.29 ","","ARIMA",2.565,8.358,3.178,32,10,2,0
2014-07-11,"retail_311","Wide Distribution","X3643",2014-07-13,2013-08-30,"P23","$14.05 ","","ARIMA",1.481,1.949,0.461,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X40098",2014-07-13,2014-05-19,"P28","$126.18 ","","ARIMA",28.812,62.266,27.708,135,45,0,0
2014-07-11,"retail_311","Wide Distribution","X29231",2014-07-13,2014-05-13,"P28","$5.20 ","","ARIMA",0.371,1.838,0.482,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X35981",2014-07-13,2014-06-10,"P28","$41.41 ","","ARIMA",1.686,8.307,1.765,21,7,2,0
2014-07-01,"retail_85","Promotion Change","X4109",2014-07-13,2006-02-16,"P10","$19.99 ","","ARIMA",369.612,574.82,351.42,1381,657.619,434,0
2014-07-11,"retail_311","Wide Distribution","X43974",2014-07-13,2014-06-09,"P28","$34.99 ","","ARIMA",2.201,11.715,3.046,51,17,2,0
2014-07-11,"retail_311","Wide Distribution","X7356",2014-07-13,2011-01-10,"P28","$15.87 ","","ARIMA",3.25,7.461,3.434,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X44075",2014-07-13,2014-06-25,"P28","$29.99 ","","DLM",1.098,3.758,1.177,9,3,1,0
2014-07-11,"retail_311","Wide Distribution","X15070",2014-07-13,2011-01-01,"P28","$32.47 ","","ARIMA",27.024,50.982,28.614,129,43,21,0
2014-07-11,"retail_311","Wide Distribution","X12441",2014-07-13,2014-06-27,"P28","$8.99 ","","ARIMA",0.427,0.874,0.188,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X37504",2014-07-13,2014-06-09,"P28","$45.00 ","","ARIMA",1.361,4.284,1.39,9,3,2,0
2014-07-11,"retail_311","Wide Distribution","X36811",2014-07-13,2014-06-06,"P28","$23.60 ","","ARIMA",4.728,9.715,4.34,36,12,6,0
2014-07-11,"retail_311","Wide Distribution","X39605",2014-07-13,2014-05-22,"P28","$89.95 ","","DLM",1.15,3.08,0.98,6,2,4,1
2014-07-11,"retail_311","Wide Distribution","X27348",2014-07-13,2014-06-25,"P28","$47.99 ","","ARIMA",2.63,6.275,2.375,18,6,3,0
2014-07-11,"retail_311","Wide Distribution","X27401",2014-07-13,2014-06-19,"P28","$17.59 ","","ARIMA",6.227,19.579,6.936,18,6,9,0
2014-07-11,"retail_311","Wide Distribution","X21927",2014-07-13,2012-03-01,"P28","$9.49 ","","ARIMA",1.222,2.476,0.775,9,3,3,1
2014-07-11,"retail_311","Wide Distribution","X44064",2014-07-13,2014-06-20,"P28","$29.99 ","","ARIMA",0.822,2.941,0.937,9,3,2,0
2014-07-11,"retail_311","Wide Distribution","X21736",2014-07-13,2012-06-18,"P28","$19.16 ","","ARIMA",0.113,0.339,0.047,6,2,1,1
2014-07-11,"retail_311","Wide Distribution","X11817",2014-07-13,2010-01-15,"P28","$11.18 ","","ARIMA",3.763,9.255,4.281,18,6,0,0
2014-07-11,"retail_311","Wide Distribution","X37535",2014-07-13,2014-06-05,"P28","$28.72 ","","ARIMA",3.094,6.941,2.591,9,3,9,1
2014-07-11,"retail_311","Wide Distribution","X25587",2014-07-13,2014-06-05,"P28","$39.53 ","","ARIMA",1.99,4.998,1.67,33,11,0,0
2014-07-11,"retail_311","Wide Distribution","X16573",2014-07-13,2014-06-05,"P28","$7.99 ","","ARIMA",0.269,2.445,0.638,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X37537",2014-07-13,2014-06-05,"P28","$78.08 ","","ARIMA",1.21,2.536,0.808,6,2,3,1
2014-07-07,"retail_70","Promotion Change","X20088",2014-07-13,2012-01-04,"P10","$29.99 ","","ARIMA",189.975,403.48,223.549,350,166.667,373,0
2014-07-11,"retail_311","Wide Distribution","X38980",2014-07-13,2014-05-27,"P28","$74.00 ","","ARIMA",0.797,3.6,0.927,9,3,0,0
2014-07-04,"retail_75","Wide Distribution","X38275",2014-07-20,2014-03-18,"P28","$11.99 ","N","ARIMA",0.814,2.385,0.677,4,2,4,1
2014-07-11,"retail_311","Wide Distribution","X44345",2014-07-20,2014-06-18,"P28","$29.99 ","N","ARIMA",2.609,6.696,2.374,9,3,6,1
2014-07-11,"retail_311","Wide Distribution","X44027",2014-07-20,2014-06-20,"P28","$26.99 ","N","ARIMA",0.205,1.902,0.453,9,3,0,0
2014-07-11,"retail_17","Must be in-stock","X12339",2014-07-20,2013-10-10,"P21","$9.99 ","N","ARIMA",0.261,1.609,0.387,0.938,0.75,0,0
2014-07-03,"retail_71","New Item","X7713",2014-07-20,2013-05-06,"P17","$19.50 ","N","ARIMA",0.237,1.024,0.234,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X17528",2014-07-20,2011-03-20,"P28","$1.49 ","N","ARIMA",10.23,23.854,10.031,9,3,13,0
2014-07-11,"retail_311","Wide Distribution","X5289",2014-07-20,2011-01-10,"P28","$30.40 ","Y","ARIMA",41.851,74.706,40.668,93,31,13,1
2014-07-11,"retail_17","Must be in-stock","X2639",2014-07-20,2010-07-26,"P21","$149.95 ","N","ARIMA",0.249,2.086,0.633,0.938,0.75,1,1
2014-07-03,"retail_71","New Item","X6853",2014-07-20,2013-06-24,"P17","$72.50 ","N","ARIMA",0.272,2.883,0.706,12,4,0,0
2014-07-03,"retail_174","?","X16306",2014-07-20,2013-04-01,"P12","$7.20 ","N","ARIMA",2.971,9.782,3.534,32,10,2,0
2014-07-11,"retail_311","Wide Distribution","X24206",2014-07-20,2012-12-27,"P28","$54.47 ","N","ARIMA",0,0.868,0.169,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X5547",2014-07-20,2011-01-10,"P28","$16.05 ","N","ARIMA",3.467,8.922,4.002,33,11,3,0
2014-07-11,"retail_311","Wide Distribution","X15943",2014-07-20,2011-03-08,"P28","$21.99 ","N","ARIMA",0.033,0.329,0.052,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X26902",2014-07-20,2014-06-22,"P28","$19.38 ","N","ARIMA",0.506,0.936,0.225,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X21031",2014-07-20,2012-05-09,"P21","$599.00 ","N","ARIMA",0.053,0.364,0.054,0.938,0.75,0,0
2014-07-11,"retail_17","Must be in-stock","X5986",2014-07-20,2013-09-29,"P21","$54.05 ","N","DLM",0.304,1.05,0.257,0.938,0.75,0,0
2014-07-11,"retail_311","Wide Distribution","X35983",2014-07-20,2014-06-10,"P28","$65.00 ","N","DLM",0.857,3.618,1.021,9,3,6,1
2014-07-11,"retail_133","Wide Distribution","X17132",2014-07-20,2011-06-17,"P24","$17.99 ","N","ARIMA",16.007,44.73,18.2,12.005,12,15,1
2014-07-11,"retail_311","Wide Distribution","X38241",2014-07-20,2014-05-18,"P28","$29.99 ","N","ARIMA",48.037,126.891,41.621,111,37,48,0
2014-07-11,"retail_311","Wide Distribution","X41835",2014-07-20,2014-06-09,"P28","$29.95 ","N","ARIMA",0.803,1.733,0.533,9,3,0,0
2014-07-11,"retail_17","Must be in-stock","X6824",2014-07-20,2014-01-20,"P21","$4.79 ","N","ARIMA",17.768,37.52,18.872,32.188,25.75,37,0
2014-07-11,"retail_17","Must be in-stock","X36815",2014-07-20,2014-04-10,"P21","$13.36 ","N","ARIMA",0.269,1.177,0.292,0.625,0.5,0,0
2014-07-18,"retail_85","New Item","X44333",2014-07-20,2014-05-29,"P10","$9.00 ","Y","ARIMA",38.999,104.952,35.561,600.031,600,67,0
2014-07-11,"retail_311","Wide Distribution","X21977",2014-07-20,2013-05-05,"P28","$7.26 ","N","ARIMA",6.268,17.098,6.925,21,7,1,0
2014-07-11,"retail_311","Wide Distribution","X37223",2014-07-20,2014-05-25,"P28","$23.50 ","N","ARIMA",0.198,2.036,0.509,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X5983",2014-07-20,2009-01-01,"P21","$115.89 ","N","ARIMA",1.814,6.756,2.461,6.563,5.25,1,0
2014-07-11,"retail_17","Must be in-stock","X8399",2014-07-20,2008-07-09,"P21","$21.00 ","N","ARIMA",0.1,0.739,0.114,0.625,0.5,0,0
2014-07-11,"retail_311","Wide Distribution","X38622",2014-07-20,2014-05-16,"P28","$10.99 ","N","ARIMA",2.019,5.744,1.96,9,3,1,0
2014-07-11,"retail_17","Must be in-stock","X14228",2014-07-20,2013-11-25,"P21","$227.00 ","N","ARIMA",3.144,7.095,2.925,4.063,3.25,6,0
2014-07-03,"retail_174","?","X32296",2014-07-20,2013-08-06,"P12","$25.24 ","N","ARIMA",3.504,10.467,4.246,36,15,22,1
2014-07-11,"retail_17","Must be in-stock","X16905",2014-07-20,2011-06-01,"P21","$214.37 ","N","ARIMA",0.067,0.292,0.039,0.313,0.25,0,0
2014-07-11,"retail_249","New Item","X1383",2014-07-20,2014-09-16,"P7","$19.88 ","Y","GBM",420,1479,420,6000.099,6000,213,0
2014-07-11,"retail_311","Wide Distribution","X2967",2014-07-20,2014-06-19,"P28","$3.83 ","N","ARIMA",0.405,2.909,0.766,6,2,1,0
2014-07-11,"retail_17","Must be in-stock","X37662",2014-07-20,2014-04-30,"P21","$66.70 ","N","ARIMA",0.266,2.695,0.673,1.25,1,0,0
2014-07-11,"retail_17","Must be in-stock","X3597",2014-07-20,2013-09-05,"P21","$81.26 ","","ARIMA",0.22,0.976,0.241,1.563,1.25,0,0
2014-07-11,"retail_311","Wide Distribution","X3578",2014-07-20,2014-05-13,"P28","$4.60 ","","ARIMA",0.069,0.888,0.181,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X36893",2014-07-20,2014-06-09,"P28","$39.99 ","","ARIMA",1.219,3.394,1.068,6,2,6,1
2014-07-11,"retail_311","Wide Distribution","X12814",2014-07-20,2014-06-16,"P28","$9.43 ","","ARIMA",1.096,4.022,1.284,6,2,8,1
2014-07-18,"retail_269","New Item","X11511",2014-07-20,2014-07-24,"P3","$6.99 ","","RF",15.482,31.818,15.09,747,340,0,0
2014-07-11,"retail_17","Must be in-stock","X35589",2014-07-20,2013-12-07,"P21","$18.21 ","","ARIMA",0.72,2.239,0.718,1.25,1,0,0
2014-07-11,"retail_311","Wide Distribution","X44074",2014-07-20,2014-06-25,"P28","$29.99 ","","ARIMA",0.05,0.592,0.117,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X21249",2014-07-20,2009-05-19,"P21","$36.81 ","","ARIMA",123.489,301.5,134.505,302.813,242.25,218,1
2014-07-11,"retail_311","Wide Distribution","X4787",2014-07-20,2010-06-02,"P28","$19.03 ","","ARIMA",0.454,0.71,0.144,21,7,0,0
2014-07-11,"retail_311","Wide Distribution","X41580",2014-07-20,2014-03-12,"P28","$14.99 ","","ARIMA",0.87,2.413,0.678,9,3,1,0
2014-07-11,"retail_17","Must be in-stock","X35149",2014-07-20,2013-11-26,"P21","$14.18 ","","ARIMA",3.996,14.348,5.41,3.438,2.75,4,1
2014-07-11,"retail_311","Wide Distribution","X20419",2014-07-20,2012-04-01,"P28","$12.62 ","","DLM",0.523,1.105,0.297,9,3,0,0
2014-07-11,"retail_311","Wide Distribution","X20173",2014-07-20,2014-06-13,"P28","$26.50 ","","ARIMA",0.086,0.716,0.164,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X11833",2014-07-20,2013-12-30,"P21","$22.73 ","","ARIMA",0.464,0.734,0.156,0.313,0.25,0,0
2014-07-11,"retail_311","Wide Distribution","X12441",2014-07-20,2014-06-27,"P28","$8.99 ","","ARIMA",0.498,0.768,0.186,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X8246",2014-07-20,2010-02-12,"P28","$52.67 ","","ARIMA",2.487,7.424,2.619,30,10,4,0
2014-07-11,"retail_311","Wide Distribution","X27039",2014-07-20,2014-06-22,"P28","$39.81 ","","DLM",0.292,0.92,0.214,9,3,0,0
2014-07-11,"retail_17","Must be in-stock","X6245",2014-07-20,2014-05-09,"P21","$134.99 ","","ARIMA",0.064,0.794,0.132,0.313,0.25,0,0
2014-07-11,"retail_17","Must be in-stock","X37580",2014-07-20,2014-04-03,"P21","$29.95 ","","ARIMA",0.697,3.37,0.921,2.5,2,2,1
2014-07-11,"retail_17","Must be in-stock","X34795",2014-07-20,2014-03-07,"P21","$53.36 ","","ARIMA",0.215,1.677,0.409,2.5,2,3,1
2014-07-11,"retail_17","Must be in-stock","X40219",2014-07-20,2014-05-08,"P21","$289.52 ","","ARIMA",0.113,1.12,0.253,0.313,0.25,0,1
2014-07-11,"retail_311","Wide Distribution","X2497",2014-07-20,2014-05-13,"P28","$6.20 ","","ARIMA",0.734,3.074,0.942,9,3,2,0
2014-07-11,"retail_17","Must be in-stock","X9207",2014-07-20,2014-04-30,"P21","$248.92 ","","ARIMA",0.161,1.521,0.409,0.313,0.25,0,1
2014-07-11,"retail_17","Must be in-stock","X37931",2014-07-20,2014-05-05,"P21","$499.99 ","","ARIMA",0.944,4.096,1.41,0.938,0.75,0,1
2014-07-03,"retail_27","Wide Distribution","X29641",2014-07-20,2013-08-21,"P24","$104.99 ","","ARIMA",2.183,9.932,3.431,34,10,0,0
2014-07-11,"retail_17","Must be in-stock","X12594",2014-07-20,2014-02-26,"P21","$32.79 ","","ARIMA",0.123,1.886,0.477,1.563,1.25,0,0
2014-07-11,"retail_17","Must be in-stock","X21830",2014-07-20,2012-04-24,"P21","$9.00 ","","ARIMA",0.069,0.948,0.193,0.625,0.5,0,0
2014-07-11,"retail_17","Must be in-stock","X2853",2014-07-20,2012-03-26,"P21","$102.91 ","","ARIMA",0,0.398,0.056,0.625,0.5,0,0
2014-07-01,"retail_105","Must be in-stock","X31672",2014-07-20,2013-07-25,"P10","$9.25 ","","ARIMA",1170.75,2025.15,1181.427,1500,714.286,83,1
2014-07-11,"retail_311","Wide Distribution","X31474",2014-07-20,2014-06-15,"P28","$18.00 ","","ARIMA",0.479,2.779,0.732,9,3,1,0
2014-07-11,"retail_311","Wide Distribution","X5673",2014-07-20,2010-08-11,"P28","$11.56 ","","ARIMA",0.256,0.832,0.186,12,4,0,0
2014-07-11,"retail_311","Wide Distribution","X44029",2014-07-20,2014-06-19,"P28","$26.99 ","","ARIMA",0.614,3.2,0.874,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X32648",2014-07-20,2014-04-16,"P21","$159.99 ","","ARIMA",0.397,1.736,0.511,1.563,1.25,0,0
2014-07-11,"retail_17","Must be in-stock","X20949",2014-07-20,2012-11-16,"P21","$349.99 ","","ARIMA",0,0.165,0.016,0.625,0.5,1,1
2014-07-11,"retail_311","Wide Distribution","X42293",2014-07-20,2014-06-04,"P28","$18.15 ","","ARIMA",3.739,16.874,4.331,66,22,7,0
2014-07-11,"retail_311","Wide Distribution","X2255",2014-07-20,2011-07-08,"P28","$12.09 ","","ARIMA",2.22,5.331,2.063,27,9,3,0
2014-07-11,"retail_311","Wide Distribution","X31158",2014-07-20,2014-05-16,"P28","$169.00 ","","ARIMA",0.101,0.741,0.16,6,2,0,0
2014-07-11,"retail_17","Must be in-stock","X11005",2014-07-20,2013-12-30,"P21","$376.87 ","","ARIMA",0.248,0.366,0.059,0.313,0.25,0,0
2014-07-11,"retail_17","Must be in-stock","X8276",2014-07-20,2013-11-21,"P21","$49.45 ","","ARIMA",0.064,0.349,0.05,0.313,0.25,0,0
2014-07-03,"retail_71","New Item","X8739",2014-07-20,2013-07-06,"P17","$30.00 ","","ARIMA",3.18,11.752,4.235,24,8,4,0
2014-07-04,"retail_75","Wide Distribution","X38274",2014-07-20,2014-03-18,"P28","$11.57 ","","ARIMA",0.765,2.521,0.71,44,22,6,0
2014-07-11,"retail_311","Wide Distribution","X34771",2014-07-20,2014-06-12,"P28","$9.99 ","","ARIMA",0.21,0.977,0.243,12,4,5,1
2014-07-11,"retail_17","Must be in-stock","X31229",2014-07-20,2013-10-01,"P21","$479.00 ","","ARIMA",0.076,0.497,0.09,0.313,0.25,0,0
2014-07-11,"retail_17","Must be in-stock","X7014",2014-07-20,2014-01-27,"P21","$187.60 ","","ARIMA",0.289,0.574,0.085,0.313,0.25,0,0
2014-07-11,"retail_17","Must be in-stock","X21370",2014-07-20,2012-05-04,"P21","$69.50 ","","ARIMA",0.067,0.378,0.058,0.313,0.25,0,0
2014-07-11,"retail_311","Wide Distribution","X45083",2014-07-20,2014-06-18,"P28","$38.10 ","","ARIMA",1.935,8.034,2.297,24,8,0,0
2014-07-11,"retail_311","Wide Distribution","X38530",2014-07-20,2014-06-25,"P28","$175.13 ","","ARIMA",0.749,1.137,0.27,6,2,2,1
2014-07-11,"retail_311","Wide Distribution","X38795",2014-07-20,2014-05-14,"P28","$3.99 ","","ARIMA",8.519,18.586,6.837,54,18,9,0
2014-07-11,"retail_311","Wide Distribution","X24394",2014-07-20,2014-05-27,"P28","$21.19 ","","ARIMA",0.315,1.119,0.282,6,2,0,0
2014-07-11,"retail_311","Wide Distribution","X40214",2014-07-20,2014-06-09,"P28","$14.99 ","","ARIMA",0.85,3.554,1.012,18,6,0,0
2014-07-11,"retail_17","Must be in-stock","X23579",2014-07-20,2013-01-20,"P21","$3,999.99 ","","ARIMA",0,0.922,0.158,0.313,0.25,0,1
2014-07-11,"retail_311","Wide Distribution","X25510",2014-07-20,2014-06-02,"P28","$17.59 ","","ARIMA",0.039,0.887,0.19,6,2,1,0
2014-07-11,"retail_311","Wide Distribution","X26217",2014-07-20,2014-05-09,"P28","$34.99 ","","ARIMA",1.977,5.705,1.895,6,2,6,1
2014-07-11,"retail_311","Wide Distribution","X4958",2014-07-20,2006-10-03,"P28","$16.23 ","","ARIMA",8.631,17.193,8.372,21,7,2,1
2014-07-11,"retail_311","Wide Distribution","X39324",2014-07-20,2014-05-10,"P28","$32.06 ","","ARIMA",1.804,2.994,0.985,9,3,4,1
2014-07-11,"retail_17","Must be in-stock","X36662",2014-07-20,2014-04-10,"P21","$16.77 ","","ARIMA",0.261,0.454,0.078,0.313,0.25,0,0
2014-07-11,"retail_17","Must be in-stock","X4329",2014-07-20,2009-08-01,"P21","$114.95 ","","ARIMA",0.301,1.298,0.316,0.938,0.75,0,0
2014-07-11,"retail_311","Wide Distribution","X29035",2014-07-20,2014-05-13,"P28","$7.20 ","","ARIMA",0.118,2.244,0.493,18,6,0,0
2014-07-11,"retail_311","Wide Distribution","X34948",2014-07-20,2014-05-12,"P28","$39.18 ","","ARIMA",0.648,1.833,0.513,6,2,1,0
2014-07-11,"retail_17","Must be in-stock","X2686",2014-07-20,2013-04-17,"P21","$22.99 ","","ARIMA",0.115,2.402,0.567,1.563,1.25,0,0
2014-07-02,"retail_306","Manual order","X35038",2014-07-20,2013-11-24,"P12","$14.99 ","","ARIMA",20.793,37.056,20.543,72,30,26,0
2014-07-11,"retail_311","Wide Distribution","X44781",2014-07-20,2014-06-18,"P28","$26.00 ","","ARIMA",1.709,5.555,1.708,9,3,1,0
2014-07-11,"retail_17","Must be in-stock","X3922",2014-07-20,2010-08-01,"P21","$112.99 ","","ARIMA",0,0.14,0.012,0.313,0.25,0,0
2014-07-03,"retail_321","Must be in-stock","X42584",2014-07-20,2014-04-24,"P11","$29.99 ","","ARIMA",15.353,34.413,17.289,27.6,12,17,0
2014-07-07,"retail_41","Seasonality","X23690",2014-07-20,2012-01-01,"P28","$9.99 ","","ARIMA",52.231,91.883,48.358,500,250,38,0
2014-07-11,"retail_311","Wide Distribution","X35551",2014-07-20,2014-06-02,"P28","$89.17 ","","ARIMA",0.141,0.993,0.269,6,2,1,0
2014-07-11,"retail_311","Wide Distribution","X12498",2014-07-20,2013-05-05,"P28","$31.88 ","","ARIMA",0.942,1.748,0.52,18,6,0,0
2014-07-11,"retail_311","Wide Distribution","X11096",2014-07-27,2009-10-29,"P28","$104.96 ","N","ARIMA",3.692,6.05,2.075,30,10,0,0
2014-07-26,"retail_286","Seasonality","X501",2014-07-27,2011-12-14,"P6","$172.52 ","N","ARIMA",4.198,8,3.253,3.61,1.897,2,1
2014-07-26,"retail_286","Seasonality","X1661",2014-07-27,2012-07-23,"P6","$195.70 ","N","ARIMA",1.409,2.732,1.05,1.154,0.35,2,0
2014-07-26,"retail_286","Seasonality","X663",2014-07-27,2010-01-08,"P6","$121.34 ","N","ARIMA",13.535,20.412,7.857,7.34,3.444,2,1
2014-07-26,"retail_286","Seasonality","X246",2014-07-27,2007-06-15,"P6","$172.38 ","N","ARIMA",2.538,4.554,1.881,2.145,0.906,1,1
2014-07-11,"retail_17","Must be in-stock","X10539",2014-07-27,2014-01-23,"P21","$15.96 ","N","ARIMA",0.067,0.24,0.027,0.313,0.25,0,0
2014-07-26,"retail_286","Seasonality","X417",2014-07-27,2010-01-22,"P6","$128.64 ","N","ARIMA",2.229,3.824,1.327,0.591,0.234,0,1
2014-07-11,"retail_311","Wide Distribution","X26903",2014-07-27,2014-06-02,"P28","$29.75 ","N","DLM",0.401,2.259,0.616,6,2,2,1
2014-07-26,"retail_286","Seasonality","X331",2014-07-27,2012-08-04,"P6","$112.87 ","N","ARIMA",8.979,15.857,9.701,12.387,6.722,6,1
2014-07-26,"retail_286","Seasonality","X403",2014-07-27,2011-07-09,"P6","$86.59 ","N","ARIMA",2.271,3.677,1.185,1.933,0.695,1,1
2014-07-26,"retail_286","Seasonality","X322",2014-07-27,2012-01-11,"P6","$63.00 ","N","ARIMA",2.528,4.575,1.716,2.728,1.095,0,1
2014-07-26,"retail_286","Seasonality","X1838",2014-07-27,2002-05-01,"P6","$103.07 ","N","ARIMA",0.971,2.127,0.79,1.409,0.474,0,1
2014-07-11,"retail_311","Wide Distribution","X6613",2014-07-27,2011-01-10,"P28","$26.42 ","N","DLM",6.922,14.936,6.131,24,8,18,1
2014-07-11,"retail_311","Wide Distribution","X27349",2014-07-27,2014-06-25,"P28","$51.82 ","N","ARIMA",2.293,5.798,2.064,6,2,2,1
